1296000,119.43.23.54,57414,80
1296000,141.8.67.235,42975,3389
1296000,119.43.23.54,62580,80
1296000,182.3.53.230,42019,3389
1296001,168.12.147.158,49067,443
1296001,165.17.48.210,41447,443
1296001,147.5.3.180,43154,443
1296001,130.9.35.149,42296,3389
1296002,143.18.19.60,62373,443
1296002,152.12.62.70,50260,2116
1296002,184.64.34.23,47993,4765
1296002,126.8.25.38,48559,443
1296003,184.64.34.23,43505,1813
1296003,136.5.106.144,45973,80
1296003,184.64.34.23,55856,443
1296003,147.9.69.93,59447,443
1296003,184.64.34.23,48382,80
1296003,184.64.34.23,41203,80
1296004,184.64.34.23,52540,80
1296004,184.64.34.23,41425,443
1296004,184.64.34.23,49088,3389
1296004,160.7.50.25,47621,3389
1296005,151.15.94.134,50806,80
1296005,184.64.34.23,50957,3389
1296005,184.64.34.23,50453,80
1296005,184.64.34.23,50596,80
1296006,132.18.212.158,44632,3389
1296006,184.64.34.23,55838,443
1296006,159.7.246.164,52526,80
1296006,184.64.34.23,64644,3498
1296006,184.64.34.23,42507,3389
1296006,167.10.33.190,40492,3389
1296007,184.64.34.23,49618,1640
1296007,184.64.34.23,42360,80
1296007,184.64.34.23,59397,80
1296007,184.64.34.23,61427,80
1296008,184.64.34.23,64323,80
1296008,184.64.34.23,48557,4113
1296008,158.14.157.121,64674,443
1296008,114.7.78.178,56172,443
1296008,184.64.34.23,64141,5179
1296008,184.64.34.23,58753,3389
1296008,184.64.34.23,47401,80
1296009,157.10.19.154,51787,443
1296009,163.8.56.86,53771,4862
1296009,136.18.185.78,55211,3389
1296009,166.6.86.80,62594,443
1296010,143.9.153.11,54564,443
1296010,184.64.34.23,52825,80
1296010,156.7.182.7,60793,1914
1296010,184.64.34.23,43290,5052
1296010,166.12.133.159,49077,4501
1296011,184.64.34.23,55189,2784
1296011,112.9.146.215,43328,443
1296011,166.9.65.174,56901,5274
1296011,184.64.34.23,50403,80
1296012,156.7.114.185,44851,443
1296012,184.64.34.23,62070,80
1296012,184.64.34.23,47770,4469
1296012,184.64.34.23,53956,443
1296013,184.64.34.23,55770,1778
1296013,184.64.34.23,53931,80
1296013,184.64.34.23,55534,443
1296013,184.64.34.23,62840,3033
1296014,184.64.34.23,62292,443
1296014,152.16.220.209,42178,3916
1296014,128.14.17.164,49992,3389
1296014,184.64.34.23,63655,443
1296015,184.64.34.23,45565,5171
1296015,184.64.34.23,50479,3331
1296015,184.64.34.23,40583,443
1296015,184.64.34.23,61261,3389
1296016,184.64.34.23,42505,1503
1296016,184.64.34.23,48094,3389
1296016,184.64.34.23,57141,3389
1296017,184.64.34.23,47079,3389
1296017,168.7.223.9,54995,3389
1296017,184.64.34.23,58584,443
1296017,184.64.34.23,57180,443
1296017,126.15.55.2,52468,4625
1296018,126.7.8.212,61705,3389
1296018,155.9.40.175,46921,443
1296018,119.43.23.54,59035,2205
1296018,135.14.16.97,56199,3828
1296018,136.9.240.122,42288,80
1296018,155.9.163.97,60874,443
1296019,134.18.30.127,46240,1870
1296019,154.15.139.210,47799,80
1296019,148.13.176.119,53307,443
1296019,134.17.82.6,64007,3389
1296020,184.64.34.23,46473,443
1296020,113.20.16.235,43714,3389
1296020,184.64.34.23,63055,80
1296020,184.64.34.23,53429,3389
1296020,184.64.34.23,51062,3389
1296021,182.3.53.230,62715,3389
1296021,116.11.176.214,57708,80
1296021,184.64.34.23,46269,3389
1296021,184.64.34.23,47672,3389
1296022,184.64.34.23,42401,3389
1296022,184.64.34.23,46897,80
1296022,184.64.34.23,41053,443
1296022,184.64.34.23,58398,80
1296023,111.17.131.21,41354,80
1296023,131.11.33.6,42536,443
1296023,184.64.34.23,60773,443
1296023,184.64.34.23,52353,4378
1296024,184.64.34.23,41057,2308
1296024,184.64.34.23,53357,80
1296024,184.64.34.23,43183,443
1296024,148.20.168.152,64060,1727
1296024,184.64.34.23,49684,443
1296025,184.64.34.23,55151,80
1296025,131.11.117.208,50079,80
1296025,120.18.146.59,60767,443
1296025,184.64.34.23,44209,3389
1296025,184.64.34.23,64897,3389
1296025,184.64.34.23,53119,80
1296026,130.15.169.43,63343,3389
1296026,184.64.34.23,60139,4786
1296026,184.64.34.23,52420,3551
1296026,184.64.34.23,48556,80
1296026,184.64.34.23,51877,3389
1296027,130.13.177.243,46616,443
1296027,184.64.34.23,42638,443
1296027,184.64.34.23,54363,2075
1296027,184.64.34.23,56262,80
1296027,118.12.114.102,49033,3979
1296027,184.64.34.23,62613,80
1296028,141.20.56.16,48447,3389
1296028,184.64.34.23,44082,3389
1296028,184.64.34.23,46371,3135
1296028,184.64.34.23,61773,80
1296028,184.64.34.23,62482,4623
1296029,170.8.16.13,43406,80
1296029,184.64.34.23,55893,1787
1296029,121.17.214.67,53383,3389
1296029,155.19.212.30,46823,443
1296030,142.8.214.149,40924,443
1296030,184.64.34.23,49290,443
1296030,184.64.34.23,59142,443
1296030,137.16.174.63,59617,3389
1296031,148.12.127.104,56481,3389
1296031,133.16.172.218,58530,80
